#Thread	Original Vehicle	Seats	Cars	Bikes	Bicycles	Quadbikes	Planes	Helicopters	Boats	Trains	Trailers	Flags	Alternate Coordinates			Alt Coord Notes
#													X	Y	Z	
firetru	Pony	4	Y	N	N	N	N	Y	N	N	N					
firetru	Taxi	4	Y	N	N	N	N	Y	N	N	N					
firetru	Cabbie	4	Y	N	N	N	N	Y	N	N	N					
firetru	Rumpo	4	Y	N	N	N	N	Y	N	N	N					
firetru	Merit	4	Y	N	N	N	N	Y	N	N	N					
firetru	Patriot	4	Y	N	N	N	N	Y	N	N	N					
firetru	Burrito	4	Y	N	N	N	N	Y	N	N	N					
firetru	Intruder	4	Y	N	N	N	N	Y	N	N	N					
firetru	Greenwoo	4	Y	N	N	N	N	Y	N	N	N					
firetru	Sultan	4	Y	N	N	N	N	Y	N	N	N					
copcar	fcr900	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	nrg500	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	pcj600	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	faggio	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	freeway	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sanchez	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	bf400	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	wayfarer	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	infernus	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	cheetah	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	banshee	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	turismo	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	zr350	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	comet	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	supergt	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	bullet	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	phoenix	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	landstal	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	bravura	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	buffalo	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	manana	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	voodoo	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	pony	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	esperant	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	bobcat	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	bfinject	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	hotknife	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	previon	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	stallion	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	rumpo	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	hermes	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sabre	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	walton	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	burrito	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	camper	3	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	rancher	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	virgo	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	blistac	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	mesa	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	majestic	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	buccanee	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	fortune	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	cadrona	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	feltzer	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	remingtn	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	slamvan	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	blade	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	clover	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sadler	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	hustler	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	tampa	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	yosemite	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	windsor	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	uranus	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	jester	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	elegy	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	flash	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	savanna	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	broadway	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	tornado	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	huntley	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	euros	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	club	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	picador	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	alpha	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sadlshit	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	romero	2	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	peren	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sentinel	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	moonbeam	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	washing	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	premier	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	admiral	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	solair	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	glendale	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	oceanic	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	regina	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	greenwoo	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	elegant	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	nebula	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	willard	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	vincent	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	intruder	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	primo	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sunrise	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	merit	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	sultan	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	stratum	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	stafford	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	emperor	4	Y	Y	Y	Y	Y	Y	N	N	N					
copcar	glenshit	4	Y	Y	Y	Y	Y	Y	N	N	N					
bcour	Bmx	1	Y	Y	Y	Y	N	C	N	N	N	ignore	-10	6	0	
bcour	Freeway	1	C	Y	Y	Y	N	C	N	N	N	ignore	-13	12	0	
bcour	Faggio	1	C	Y	Y	Y	N	C	N	N	N	ignore	12	0	0	
mtbiker	Nrg500	1	Y	Y	Y	Y	N	Y	N	N	N					
stunt	Nrg500	1	N	Y	Y	N	N	C	N	N	N	ignore	-4	-23	0	
stunt	Bike	1	N	N	Y	N	N	C	N	N	N	ignore	-20	-24	-5	
taxiodd	Taxi	2	Y	N	N	N	Y	Y	N	N	N	smallplanes				
ambulan	Ambulan	4	Y	N	N	N	N	Y	N	N	N					
firetru	Firetruk	1	Y	N	N	N	N	N	N	N	N	spray				
burgjb	Nrg500	1	Y	Y	Y	Y	Y	Y	N	N	N	smallplanes				
pimp	Nrg500	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
copcar	Copbike	1	Y	Y	Y	Y	Y	Y	N	N	N	smallplanes				
